0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Curso.jpg.xhtml?ln=images HTTP/1.1" 200 6382
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Adicionar_Turma.png.xhtml?ln=images HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [25/Oct/2018:05:59:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/Usuario.png.xhtml?ln=images HTTP/1.1" 200 5113
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12921
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:00:24 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12942
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:11 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12942
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:21 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12941
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:38 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12942
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:48 -0300] "GET /SalaDeAula_Project/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:56 -0300] "GET /SalaDeAula_Project/TelaInicial.xhtml HTTP/1.1" 200 12945
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:56 -0300] "GET /SalaDeAula_Project/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:56 -0300] "GET /SalaDeAula_Project/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2018:06:01:56 -0300] "GET /SalaDeAula_Project/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.1 HTTP/1.1" 304 -
